OTU_ID	otu115	otu95	otu227	otu68	otu163	otu179	otu175	otu31	otu211	otu229	otu112	otu210	otu84	otu209	otu230	otu51	otu124	otu127	otu62	otu207	otu35	otu13	otu125	otu234	otu246	otu218	otu12	otu120	otu111	otu170	otu46	otu174	otu36	otu187	otu196	otu30	otu164	otu154	otu219	otu156
otu115	1.0	0.6	0.1	1.0	0.0	1.0	0.1	0.0	0.4	0.7	0.0	0.0	0.0	0.2	0.8	1.0	0.0	0.4	0.1	0.1	0.6	0.4	0.8	0.1	0.2	0.0	1.0	0.6	0.1	0.9	0.1	0.3	0.7	0.0	0.5	0.2	0.2	0.2	0.0	0.1
otu95	0.6	1.0	0.0	0.3	0.2	0.0	0.2	0.0	0.1	0.0	0.8	0.0	0.7	0.0	0.8	0.8	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.2	0.0	0.1	0.8	0.9	0.0	0.2	0.0	0.0	0.1	0.4	0.8	0.0
otu227	0.1	0.0	1.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.7	0.3	0.1	0.2	0.0	0.0	0.2	1.0	0.0	0.1	0.0	0.0	0.0	1.0	0.0	0.7	0.0	0.2	0.0	0.0	0.1	0.0	0.0	0.0	0.2	0.0	0.0	1.0
otu68	1.0	0.3	0.1	1.0	0.8	0.8	0.3	0.5	0.5	0.2	0.5	0.2	0.9	0.0	0.1	0.2	0.0	0.9	0.9	0.3	0.0	0.5	0.6	0.7	0.1	0.5	1.0	0.3	0.3	0.2	0.8	0.0	0.7	1.0	0.0	1.0	0.1	0.8	0.1	0.8
otu163	0.0	0.2	0.0	0.8	1.0	0.0	0.0	0.0	0.0	0.0	0.1	0.9	0.0	0.9	0.1	0.0	0.1	0.0	0.7	0.0	0.0	0.0	0.5	0.0	0.3	1.0	0.0	0.1	0.6	0.3	0.0	0.0	1.0	0.0	0.1	0.2	0.2	0.0	1.0	0.0
otu179	1.0	0.0	0.0	0.8	0.0	1.0	0.2	0.0	0.0	0.0	0.3	1.0	0.0	0.2	0.1	0.0	0.1	0.3	0.2	0.6	0.0	0.0	0.6	0.1	0.2	0.4	0.2	0.3	0.9	0.8	0.9	0.0	0.1	0.0	0.8	0.4	0.2	0.0	0.2	0.6
otu175	0.1	0.2	0.1	0.3	0.0	0.2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.2	0.0	0.1	0.0	0.0	0.0	0.9	0.0	0.4	0.0	0.0	0.0	0.2	0.1	0.0	0.2	0.0	0.0	0.0	0.0	0.2	1.0	0.2	0.0	0.0	0.4
otu31	0.0	0.0	0.0	0.5	0.0	0.0	0.0	1.0	0.3	0.0	0.3	0.4	0.0	0.0	0.3	0.0	0.4	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.3	1.0	0.0	0.1	0.7	0.6	0.4	0.8	0.7	1.0	0.1	0.0	0.3
otu211	0.4	0.1	0.0	0.5	0.0	0.0	0.0	0.3	1.0	0.4	0.9	0.5	0.3	0.0	0.0	0.1	0.0	0.8	0.3	1.0	0.0	0.6	0.0	0.5	0.9	0.2	0.0	0.3	0.7	0.1	0.0	0.5	0.0	0.7	1.0	0.0	0.1	0.3	0.0	0.4
otu229	0.7	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.4	1.0	0.3	0.8	0.0	0.5	0.4	0.1	0.8	0.0	0.0	0.9	0.0	0.0	0.8	0.0	0.2	0.0	1.0	0.5	0.2	0.6	0.0	0.7	0.0	1.0	0.6	0.8	0.5	0.0	0.2	0.4
otu112	0.0	0.8	0.0	0.5	0.1	0.3	0.0	0.3	0.9	0.3	1.0	0.1	0.0	1.0	0.5	0.0	0.3	0.0	0.2	0.5	0.0	0.1	0.9	0.0	0.0	0.0	0.0	1.0	0.1	0.5	0.0	0.6	0.1	0.0	0.0	0.3	0.0	0.1	0.0	0.0
otu210	0.0	0.0	0.0	0.2	0.9	1.0	0.0	0.4	0.5	0.8	0.1	1.0	0.0	0.9	0.0	0.3	0.1	0.7	0.1	0.8	0.0	0.7	0.0	0.1	0.9	0.0	0.4	0.8	0.2	1.0	0.2	0.7	0.0	0.2	0.9	0.0	0.0	0.8	0.0	0.1
otu84	0.0	0.7	0.7	0.9	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	1.0	0.9	1.0	0.0	0.5	0.0	0.0	0.1	0.0	0.2	0.0	0.0	0.0	0.0	0.6	0.1	0.0	0.0	0.0	0.7	0.0	0.2	0.8	0.0	0.0	0.0	0.0	0.0
otu209	0.2	0.0	0.3	0.0	0.9	0.2	1.0	0.0	0.0	0.5	1.0	0.9	0.9	1.0	1.0	0.2	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.9	0.1	0.7	0.0	0.5	0.4	0.9	0.0	0.8	0.0	0.8	0.1	0.6	0.0	0.9	0.1	1.0
otu230	0.8	0.8	0.1	0.1	0.1	0.1	0.2	0.3	0.0	0.4	0.5	0.0	1.0	1.0	1.0	0.0	0.5	0.1	0.6	0.0	1.0	0.0	0.4	0.0	0.0	0.1	0.0	0.7	0.2	0.2	1.0	0.0	0.1	0.3	0.1	0.9	0.0	0.3	0.0	0.5
otu51	1.0	0.8	0.2	0.2	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.3	0.0	0.2	0.0	1.0	0.3	0.1	0.0	0.6	0.0	0.1	1.0	0.2	0.4	0.0	0.9	0.9	0.0	0.7	0.6	0.3	0.3	0.4	0.1	0.5	0.4	1.0	0.2	0.7
otu124	0.0	0.2	0.0	0.0	0.1	0.1	0.1	0.4	0.0	0.8	0.3	0.1	0.5	0.0	0.5	0.3	1.0	0.2	0.9	0.5	0.6	0.0	0.8	0.1	0.0	0.4	0.5	0.0	1.0	0.3	0.0	0.0	0.2	0.1	0.0	0.9	0.5	0.8	0.2	0.7
otu127	0.4	0.0	0.0	0.9	0.0	0.3	0.0	0.0	0.8	0.0	0.0	0.7	0.0	0.0	0.1	0.1	0.2	1.0	0.0	0.0	0.0	0.6	0.2	0.0	0.0	0.0	0.0	0.6	0.0	0.4	0.0	0.7	0.4	0.2	0.8	0.8	1.0	0.2	0.0	0.9
otu62	0.1	0.0	0.2	0.9	0.7	0.2	0.0	0.0	0.3	0.0	0.2	0.1	0.0	0.0	0.6	0.0	0.9	0.0	1.0	0.0	0.6	0.3	0.7	0.0	0.0	0.1	0.0	0.3	0.0	0.0	0.1	0.6	0.0	0.1	0.7	0.1	0.5	0.4	0.0	0.1
otu207	0.1	0.0	1.0	0.3	0.0	0.6	0.0	0.0	1.0	0.9	0.5	0.8	0.1	0.0	0.0	0.6	0.5	0.0	0.0	1.0	0.0	0.9	0.2	0.4	0.0	0.3	0.1	0.0	0.7	0.4	0.5	1.0	0.5	0.3	0.0	0.5	0.0	0.2	0.3	0.5
