otu115	otu95	otu227	otu68	otu163	otu179	otu175	otu31	otu211	otu229	otu112	otu210	otu84	otu209	otu230	otu51	otu124	otu127	otu62	otu207	otu35	otu13	otu125	otu234	otu246	otu218	otu12	otu120	otu111	otu170	otu46	otu174	otu36	otu187	otu196	otu30	otu164	otu154	otu219	otu156
otu115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0721594895048998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu95	0	0	0	0	0	0	0	0.0901353239304278	0	0	0	0	0	0	0	0	0	0	-0.0876372873147382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu227	0	0	0	0	0	0	0.117912447690263	0	0	0	0	0	0	0	0	0	0	0.0217029446361408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.215608731521715	0	0	0	0	0
otu163	0	0	0	0	0	0	0	-0.016268581604748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu175	0	0	0.117912447690263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100723427026081	0	0	0.00469846448800471	0	0	0	0.0136509448088522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu31	0	0.0901353239304278	0	0	-0.016268581604748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0833428205773219	0	0	0	0	0	0	0	0	0	0	0	0	0
otu211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142824082672949	0	0	0
otu229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14839723611773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00635094639677797	0	0	-0.0150039038606397	0	0	0	0	0	0	0	0	0	0	0	0	0
otu210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0108150945847303	0	0	0	0	0	0	-0.0504344863955993	0	0	0	0	0	0	0	0.0318521022604072	0	0	0	0	0	0	0
otu209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103544772721324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu124	0.0721594895048998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238992429540037	0	0	0	0	0
otu127	0	0	0.0217029446361408	0	0	0	0.100723427026081	0	0	0	0	0	-0.0108150945847303	0	0	0	0	0	0	0	0	0	0	0	0.103903947023833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu62	0	-0.0876372873147382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143071882778184	0	0	0	0	0	0	0	0	0	0	0
otu207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu35	0	0	0	0	0	0	0.00469846448800471	0	0	0	0	0	0	0	0	0.103544772721324	0	0	0	0	0	0.0991178794395526	0	0	0	0	0	0	0	0	0	0	-0.0183642786501836	0	0	0	0	0	0	0
otu13	0	0	0	0	0	0	0	0	0	0.14839723611773	0	0	0	0	0	0	0	0	0	0	0.0991178794395526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0411312196245028	0	0	0	0	0	0.172839610502646	0	0	0	0	0	0	0
otu234	0	0	0	0	0	0	0	0	0	0	0.00635094639677797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu246	0	0	0	0	0	0	0.0136509448088522	0	0	0	0	0	-0.0504344863955993	0	0	0	0	0.103903947023833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0738648782342151	0
otu218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu12	0	0	0	0	0	0	0	0.0833428205773219	0	0	-0.0150039038606397	0	0	0	0	0	0	0	0	0	0	0	0.0411312196245028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0997839726793661	0	0	0	0	0	0	0	0	0	0
otu111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143071882778184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0997839726793661	0	0	0	0	0	0	0	0	0	0	0	0
otu46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0883296622672466	0	0	0	0	0
otu36	0	0	0	0	0	0	0	0	0	0	0	0	0.0318521022604072	0	0	0	0	0	0	0	-0.0183642786501836	0	0.172839610502646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu196	0	0	0	0.215608731521715	0	0	0	0	0	0	0	0	0	0	0	0	0.238992429540037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0883296622672466	0	0	0	0	0	0	0	0
otu30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu164	0	0	0	0	0	0	0	0	0.0142824082672949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0738648782342151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
